"vivre";0.06795;0.00323;-0.35929;0.14101
"suffrage";0.68853;0.23046;0.37543;0.10711
"loin";-0.09942;0.01502;0.01418;0.00048
"engager";0.05779;0.00132;0.54268;0.18184
"intérêt";0.15803;0.01973;0.35733;0.15767
"mobilité";0.5552;0.52445;0.39005;0.40466
"aménagement";0.98667;1.65634;-0.87155;2.02033
"niveau";-0.62056;0.4563;-0.09004;0.01502
"stéréotype";1.58447;0.07628;-1.28116;0.07796
"essentiel";-0.68943;0.46212;-0.32344;0.159
"documentation";0.15437;0.04055;-0.10567;0.0297
"Louis";-0.44699;0.33994;0.15592;0.06466
"justice";-0.04155;0.00047;0.28235;0.03408
"mener";0.081;0.00319;-0.12461;0.0118
"dignité";-1.12161;0.03822;-0.6066;0.01748
"mobiliser";0.07662;0.0041;0.00112;0
"système";-0.21114;0.06366;-0.0795;0.01411
"changement";-0.65061;0.64302;-0.26537;0.16723
"individu";0.25013;0.03041;-0.16677;0.02113
"parmi";0.12992;0.02205;0.09955;0.02024
"nombre";-0.48598;0.25115;-0.05028;0.0042
"santé";-0.9863;1.18223;-0.64033;0.77896
"respecter";-0.06944;0.00059;0.69467;0.09168
"inviter";0.26769;0.0479;0.56325;0.33149
"civique";0.39839;0.0868;-0.29059;0.07219
"avant";0.13562;0.01229;0.21713;0.04926
"connaissance";0.17565;0.01687;-0.11925;0.01216
"maritime";0.26652;0.11654;0.51441;0.67867
"XIXe";0.31567;0.10597;0.94116;1.47247
"mesure";-0.31156;0.07078;0.06011;0.00412
"la";-0.16962;0.01923;0.38798;0.15729
"utiliser";-0.26979;0.0575;-0.01712;0.00036
"nécessaire";-0.23145;0.02767;-0.21534;0.03744
"domaine";0.2094;0.04263;-0.09147;0.01272
"union";1.50094;3.28541;-1.21691;3.37602
"école";-0.59552;0.1724;0.04403;0.00147
"colonial";0.33044;0.16919;0.95267;2.19837
"échange";-0.06829;0.00638;0.428;0.39152
"aspect";0.31324;0.12223;-0.30326;0.17909
"marquer";-0.17252;0.04612;0.01524;0.00056
"affaire";0.39523;0.10441;0.72098;0.54315
"élément";-0.02345;4e-04;0.24889;0.07061
"souvent";-0.2197;0.05866;0.10671;0.02163
"territorial";0.24522;0.08587;-0.37069;0.30674
"chaque";-0.08439;0.00433;0.07298;0.00506
"exercice";0.24805;0.01682;-0.25311;0.02739
"antisémitisme";-1.12161;0.03822;-0.6066;0.01748
"concret";-0.04899;0.0027;-0.36688;0.23654
"puis";-0.13022;0.01443;0.18864;0.04732
"nation";-0.03494;0.00119;0.36033;0.19733
"individuel";-0.10611;0.00513;0.11314;0.00912
"conscience";-0.31156;0.03539;0.06011;0.00206
"importance";-0.45619;0.15807;-0.10536;0.01318
"savoir";-0.13853;0.01224;-0.15675;0.02451
"dossier";0.31347;0.07464;0.20312;0.04899
"roi";-0.72078;0.77343;-0.11088;0.02861
"historique";0.15548;0.02864;0.25106;0.11675
"ensuite";-0.21471;0.02801;0.31394;0.09362
"traite";0.02877;0.00126;0.81612;1.58171
"traiter";0.49406;0.24473;-0.31444;0.15496
"critique";0.26704;0.03033;0.53634;0.19127
"responsabilité";-0.56045;0.04772;0.08741;0.00181
