"général";-0.25426;0.06128;0.11213;0.02551;-0.05994;0.01216
"appuyer";-0.08822;0.00503;0.08207;0.00933;-0.19775;0.09036
"travers";-0.09193;0.00623;-0.46733;0.34469;0.22712;0.13583
"acteur";0.48324;0.30216;-0.06226;0.01074;-0.04916;0.01117
"engagement";-0.25302;0.02312;0.01953;0.00029;0.70358;0.63847
"fait";-0.26516;0.06135;0.08807;0.01449;0.16153;0.08133
"valeur";-0.40128;0.06057;0.43956;0.15558;-0.14801;0.02943
"lui";-0.43319;0.14399;-0.01647;0.00045;-0.24645;0.16646
"information";0.75586;0.2149;0.00677;4e-05;-0.09633;0.01247
"approche";0.12325;0.02011;-0.12202;0.0422;0.07939;0.0298
"relation";-0.31714;0.12106;-0.10429;0.02802;0.38589;0.64019
"lequel";0.02783;0.00078;0.03662;0.00289;-0.04381;0.00691
"réseau";0.87468;0.58707;-0.08241;0.01116;0.20374;0.11376
"second";-0.31961;0.08453;0.57;0.57557;-0.24775;0.18142
"carte";0.14294;0.02951;-0.14375;0.06389;0.48915;1.2344
"évolution";-0.07392;0.00469;0.40239;0.29728;-0.05822;0.01038
"point";-0.06131;0.00334;0.18159;0.06266;-0.00611;0.00012
"construire";-0.08383;0.00656;0.28708;0.16459;0.27654;0.2548
"international";0.33365;0.11557;-0.06185;0.0085;-0.32029;0.38039
"risque";0.96747;1.21112;-0.14222;0.05603;0.00456;1e-04
"poser";0.28367;0.05932;0.51264;0.41476;0.13446;0.04761
"définir";-0.21422;0.01105;-0.27093;0.03783;0.30396;0.07944
"racisme";-0.91253;0.02506;0.23545;0.00357;-0.08389;0.00076
"géographie";0.81415;0.89758;-0.25998;0.19594;-0.39675;0.76133
"diversité";0.26855;0.03255;-0.02752;0.00073;0.05134;0.00425
"représenter";0.12936;0.00453;-0.38586;0.08632;-0.05723;0.00317
"fort";0.44222;0.2089;0.3428;0.26873;0.0151;0.00087
"humain";0.86508;0.70937;-0.16664;0.05635;-0.02993;0.00303
"porter";0.36302;0.0813;-0.19517;0.0503;-0.04751;0.00497
"majeur";0.53804;0.34409;0.16778;0.07163;-0.06762;0.01941
"représentant";-0.61766;0.03444;-0.17178;0.0057;0.57526;0.1067
"où";-0.07939;0.00607;0.10597;0.02315;-0.25138;0.21734
"construction";-0.1051;0.00964;0.23568;0.10377;0.22121;0.15252
"urbain";0.51308;0.36439;0.14428;0.06169;0.41181;0.83843
"pratique";0.32342;0.10702;0.32694;0.23411;0.16692;0.10182
"quelque";0.10949;0.01461;-0.2052;0.10985;0.29247;0.37234
"effet";0.68163;0.49634;0.02318;0.00123;-0.16417;0.10284
"pédagogique";-0.54336;0.07108;-0.85494;0.37668;0.3545;0.10805
"rapport";-0.35697;0.10737;-0.22108;0.08816;0.0275;0.00228
"dimension";0.02966;0.00065;-0.2038;0.06555;0.4646;0.5684
"culturel";0.08829;0.0095;-0.11114;0.03222;-0.19846;0.17145
"projet";-0.12447;0.00932;0.05109;0.00336;0.11185;0.02689
"identifier";0.59485;0.17569;0.01479;0.00023;0.16546;0.04855
"alors";-0.25586;0.05023;0.11117;0.0203;-0.1429;0.05597
"terme";0.24688;0.04768;0.47969;0.38539;-0.12892;0.04644
"identité";0.36877;0.01842;-0.32276;0.0302;0.30228;0.04419
"sous";-0.05176;0.00242;-0.14208;0.03901;-0.05022;0.00813
"sein";0.31606;0.07665;-0.06074;0.00606;-0.15325;0.06437
"respect";0.27125;0.00332;-0.96216;0.08945;-0.4315;0.03002
"métropole";0.98278;1.19163;-0.17135;0.07755;-0.04703;0.00975
"principal";0.47424;0.20303;0.47354;0.43336;0.31154;0.31294
"crise";-0.56473;0.35028;0.36303;0.30988;-0.17043;0.11394
"présenter";-0.42457;0.09492;-0.05889;0.00391;0.3024;0.172
"selon";0.47192;0.15079;-0.50745;0.37323;-0.10851;0.02848
"État";-0.29272;0.07091;-0.06372;0.00719;-0.2268;0.15203
"objectif";0.54389;0.07121;-0.26428;0.03599;0.23681;0.04822
"démocratique";-0.4557;0.05312;1.07963;0.63824;-0.74661;0.50925
"démarche";0.69987;0.28742;0.25851;0.08394;0.016;0.00054
"http";-0.12612;0.01962;-0.90986;2.18649;-0.04809;0.01019
"collège";0.14562;0.00287;-0.27929;0.02261;0.06507;0.00205
"séance";-1.03213;0.01603;-0.79061;0.02013;0.8261;0.03667
"non";0.17101;0.0198;-0.0483;0.00338;-0.22651;0.12408
"y";0.00617;3e-05;-0.04113;0.003;-0.12867;0.04894
