"Europe";-0.50339;0.58669;-0.01728;0.00125;0.16778;0.13075;-0.05627;0.0171;0.00148;1e-05;-0.0862;0.06786;0.04334;0.0192;-0.17388;0.37593;-0.01977;0.00572;-0.31903;1.66913
"personne";0.41768;0.04951;0.31356;0.05027;0.23127;0.03045;-0.26608;0.04685;-0.08955;0.0065;-0.30569;0.10461;0.26773;0.08981;-0.30203;0.13903;0.71823;0.92573;0.27025;0.14681
"place";-0.35331;0.19205;0.07238;0.01452;0.34073;0.35831;-0.11601;0.04828;0.00669;2e-04;-0.12638;0.09692;0.00356;9e-05;-0.14738;0.17946;-0.10407;0.10536;-0.00549;0.00033
"citoyen";0.08344;0.00343;0.31485;0.08804;0.72457;0.51913;0.08674;0.00865;-0.06629;0.00619;-0.00206;1e-05;0.2047;0.09118;-0.25603;0.17353;-0.14721;0.06755;0.05888;0.01211
"république";-0.92557;0.84454;0.04898;0.00426;1.30012;3.34282;0.02818;0.00182;0.86961;2.13081;0.1915;0.14261;-0.321;0.44845;-0.20083;0.21354;-0.09017;0.05068;0.23224;0.37663
"situation";0.51195;0.24272;-0.33415;0.1863;-0.1184;0.02604;0.0125;0.00034;0.2978;0.23475;-0.37694;0.51903;-0.05621;0.01292;0.04711;0.01104;-0.08536;0.04267;-0.01796;0.00212
"économique";0.35198;0.24056;0.0802;0.0225;0.15743;0.09654;-0.25241;0.28847;0.17052;0.16138;-0.0652;0.03256;0.16518;0.2339;-0.03524;0.01295;-0.01408;0.00243;0.06891;0.0653
"quel";0.17043;0.04599;0.19688;0.11057;0.60756;1.17243;0.04177;0.00644;-0.09102;0.03749;0.0758;0.03588;-0.07481;0.03912;-0.01081;0.00099;0.05576;0.03113;-0.04199;0.01977
"forme";0.24879;0.04623;0.06517;0.00572;-0.30993;0.14391;0.06273;0.00685;0.04239;0.00384;-0.07709;0.01751;-0.02643;0.0023;-0.09194;0.0339;0.06736;0.02143;0.11078;0.06492
"choisir";0.22738;0.07182;-0.02095;0.0011;-0.2217;0.13697;0.02651;0.00228;-0.08211;0.02677;-0.21735;0.25886;-0.13913;0.11872;-0.29515;0.6499;-0.00224;4e-05;0.05295;0.02759
"choix";0.62536;0.64255;-0.21715;0.13959;0.00399;5e-05;0.07961;0.02428;0.09331;0.04089;-0.04417;0.01264;0.13264;0.12762;-0.1405;0.17418;-0.02224;0.00514;-0.04322;0.02174
"art";-0.8342;1.30968;-0.00537;1e-04;-0.74574;2.09966;0.50598;1.12346;-0.0497;0.01329;0.32146;0.76715;0.28791;0.68872;-0.22643;0.5182;0.07958;0.07537;0.09387;0.11745
