  ;facteur;NA;NA;NA;NA;NA;NA;NA;NA;NA;
année;0.327;0.002;0.234;0.002;0.407;0.008;0.001;0;0.002;0
États;0.532;0.005;0.003;0.05;0.195;0.024;0.025;0.042;0.121;0.002
montrer;0.213;0.036;0.32;0.04;0.166;0;0.153;0;0.016;0.001
lier;0.56;0.001;0.015;0;0.005;0.022;0.039;0.007;0.204;0.002
opinion;0.215;0.036;0.104;0.054;0.211;0.011;0.043;0.106;0.017;0.086
autour;0.043;0.031;0.106;0.066;0.295;0.059;0.002;0.168;0.07;0.16
problématique;0.242;0.143;0.04;0.001;0.014;0.078;0.454;0;0;0.028
idée;0.7;0.003;0.008;0.01;0.118;0.037;0.055;0.005;0.027;0.035
parcours;0.011;0.145;0.588;0.006;0.055;0.138;0.003;0.008;0.037;0.009
presse;0.078;0;0.003;0.123;0.166;0.1;0.249;0.152;0.009;0.117
bien;0.023;0.027;0.164;0.064;0.325;0.14;0.033;0.08;0.075;0.067
général;0.319;0.08;0.098;0.091;0.001;0.176;0.022;0.01;0.022;0.011
appuyer;0.002;0.009;0.004;0.449;0;0.17;0.009;0.33;0.013;0.001
travers;0.003;0.011;0.79;0.034;0.004;0;0.001;0.07;0.002;0.044
acteur;0.545;0.001;0;0.088;0.108;0.002;0.169;0.003;0.08;0
engagement;0.047;0.003;0;0.074;0.014;0.217;0.384;0.165;0.036;0.02
fait;0.355;0.003;0.002;0.073;0.094;0.032;0.274;0.001;0.001;0.018
valeur;0.278;0.045;0.293;0.136;0.021;0.015;0.074;0.008;0.021;0.093
lui;0.288;0.008;0.06;0.003;0.019;0.005;0.051;0.194;0.023;0.122
information;0.295;0.143;0.02;0.351;0.109;0.03;0.041;0.002;0.003;0
approche;0.22;0.153;0.045;0.112;0.127;0.022;0.006;0.001;0.038;0.069
relation;0.203;0.001;0.19;0.027;0.246;0.103;0.009;0.217;0.001;0
lequel;0.005;0.144;0.029;0.122;0.054;0.089;0.019;0.034;0.362;0.011
réseau;0.288;0.266;0.076;0.178;0.026;0.005;0.001;0.042;0.103;0.006
second;0.164;0;0.482;0.037;0.086;0.108;0.007;0.078;0.015;0.015
carte;0.015;0.03;0.118;0.223;0.078;0;0.226;0.264;0.006;0.037
évolution;0.006;0.006;0.476;0.113;0.017;0.225;0.034;0.004;0.043;0
point;0.013;0.002;0.053;0;0.019;0.432;0.004;0.173;0.003;0.155
construire;0.08;0.147;0.061;0.457;0.078;0.058;0.097;0.003;0.011;0.007
international;0.081;0.07;0;0.049;0.633;0.001;0.029;0.05;0.003;0.042
risque;0.433;0.391;0.034;0.109;0.007;0.009;0.01;0.001;0.006;0
poser;0.191;0.046;0.522;0.008;0.124;0.043;0.051;0.01;0;0.005
définir;0.036;0.007;0.384;0.19;0.166;0.047;0.008;0.001;0.148;0
racisme;0.305;0.013;0.037;0.004;0;0.314;0.306;0;0.017;0.002
géographie;0.408;0.048;0.026;0.13;0.085;0.077;0.049;0.05;0.004;0.032
diversité;0.219;0.005;0.087;0.289;0.082;0.091;0.013;0.132;0.066;0.006
représenter;0.108;0.063;0.188;0.079;0.022;0.065;0.246;0.009;0.081;0.136
fort;0.512;0.001;0.211;0.006;0.044;0.031;0.104;0.017;0.007;0.06
humain;0.801;0.145;0;0.003;0.009;0.002;0.017;0.005;0.011;0.006
porter;0.165;0.116;0.037;0.341;0.164;0.072;0;0.001;0.025;0.002
majeur;0.755;0.004;0.094;0.035;0.013;0.071;0.001;0.004;0.014;0.001
représentant;0.165;0.104;0.068;0.001;0.256;0.033;0.137;0.028;0.074;0.124
où;0.006;0.31;0.236;0.086;0;0.031;0.074;0.066;0.046;0.02
construction;0.05;0.309;0.044;0.021;0;0.09;0.164;0.065;0.223;0.032
urbain;0.186;0.54;0.042;0.001;0.115;0;0.01;0.04;0.061;0
