"lequel";0.13132;0.03362;-0.00182;1e-05;-0.13949;0.05923;-0.15544;0.11933;-0.15855;0.15805
"réseau";0.15954;0.03777;0.0176;5e-04;-0.52326;0.63435;-0.06115;0.01406;0.46104;1.01728
"second";0.51819;0.42968;-0.07894;0.01079;0.29615;0.21914;0.21867;0.19387;0.12021;0.07459
"carte";0.01402;0.00055;0.18651;0.10516;-0.07539;0.02479;0.09329;0.06159;-0.10274;0.0951
"évolution";0.38336;0.23517;-0.17878;0.05536;0.46384;0.53755;-0.00633;0.00016;-0.22619;0.26406
"point";0.13384;0.03075;-0.00762;0.00011;0.21609;0.12516;0.1385;0.08343;0.05623;0.01751
"construire";0.34576;0.21564;0.06852;0.00917;0.25437;0.18224;0.24174;0.26709;0.01288;0.00097
"international";0.26928;0.14557;0.29089;0.18384;-0.20414;0.13063;0.04781;0.01163;0.15249;0.15056
"risque";-0.71541;1.28059;-0.52654;0.75078;0.64366;1.61858;0.08858;0.04974;-0.04432;0.01585
"poser";0.27326;0.10645;-0.46389;0.33203;0.02997;0.002;0.13439;0.06524;-0.0219;0.0022
"définir";-0.36881;0.06332;0.05431;0.00149;-0.20097;0.02936;0.09105;0.00978;-0.31343;0.14751
"racisme";0.2451;0.0035;0.10506;7e-04;-1.05611;0.10134;0.35548;0.01863;0.42197;0.03342
"géographie";-0.00253;2e-05;0.24843;0.1749;0.25841;0.27301;-0.07278;0.03514;0.12317;0.12813
"diversité";-0.27338;0.06523;-0.21296;0.04284;-0.0541;0.00399;0.21219;0.09957;-0.1436;0.05806
"représenter";-0.50879;0.12804;-0.09097;0.00443;-0.02283;4e-04;-0.44106;0.24378;0.34618;0.19119
"fort";0.08176;0.01381;-0.38406;0.32976;0.0357;0.00411;0.28824;0.43483;-0.00592;0.00023
"humain";-0.36864;0.24909;-0.23928;0.11358;0.09162;0.02402;0.0239;0.00265;0.1744;0.17982
"porter";0.12921;0.01991;0.31502;0.12812;0.08624;0.01385;-0.0976;0.02879;-0.01264;0.00062
"majeur";0.06253;0.00887;-0.27854;0.19055;0.0793;0.02228;0.03154;0.00572;-0.08115;0.04821
"représentant";-0.49558;0.04287;-0.016;5e-05;-0.13838;0.00522;0.47622;0.10031;-0.56217;0.17795
"où";-0.08749;0.01403;-0.16453;0.0537;0.21992;0.13842;-0.06028;0.01688;0.16896;0.16878
"construction";0.54124;0.48581;0.04742;0.00404;0.247;0.15798;-0.42547;0.76062;-0.38328;0.7858
"urbain";0.26073;0.17998;-0.10191;0.02976;-0.03559;0.00524;-0.08709;0.05087;0.20411;0.35576
"pratique";0.1751;0.05887;-0.36705;0.27999;-0.02809;0.00236;0.05812;0.01644;0.25514;0.40317
"quelque";-0.13515;0.04304;0.11721;0.03504;-0.23283;0.19948;-0.00737;0.00032;0.13963;0.14819
"effet";0.05024;0.00521;-0.13334;0.03975;0.03582;0.00414;0.00364;7e-05;-0.28642;0.54659
"pédagogique";-0.48623;0.11006;0.68514;0.2365;-0.78898;0.45246;0.03967;0.00186;-0.58811;0.51933
"rapport";-0.30078;0.14477;0.08399;0.01222;-0.09438;0.02225;0.05292;0.01136;-0.28909;0.43135
"dimension";-0.03357;0.00154;0.12037;0.02144;-0.17249;0.06352;-0.09414;0.03071;-0.22466;0.22261
"culturel";-0.00468;5e-05;0.09633;0.02367;-0.33011;0.40099;0.03408;0.00694;-0.17763;0.23984
"projet";0.35983;0.14691;0.15994;0.03141;0.04458;0.00352;-0.26943;0.20869;-0.32732;0.39211
"identifier";-0.03539;0.0012;-0.0156;0.00025;-0.21019;0.06623;0.56644;0.7805;0.14554;0.06559
"alors";0.11888;0.02056;0.02487;0.00097;-0.07458;0.01263;-0.00702;0.00018;0.26267;0.32373
"terme";0.08453;0.01081;-0.52554;0.45223;0.08277;0.01618;0.22464;0.19343;0.07197;0.02528
"identité";0.04862;0.00062;0.22178;0.01394;-0.36789;0.05534;-0.34046;0.0769;-0.26654;0.06
"sous";-0.09856;0.01667;0.20104;0.07509;0.20203;0.1094;0.1197;0.06231;0.05668;0.01779
"sein";-0.13347;0.02591;-0.13757;0.02979;0.04823;0.00528;0.01362;0.00068;-0.40909;0.78527
"respect";-0.62687;0.0343;0.55138;0.02872;-0.55864;0.04253;-0.1652;0.00604;-0.38419;0.04155
"métropole";0.37356;0.33292;0.34664;0.31025;-0.52384;1.02218;0.16584;0.16624;-0.01795;0.00248
"principal";0.38841;0.26336;-0.3134;0.18556;0.15107;0.0622;0.14676;0.09526;0.13086;0.09643
"crise";0.68046;0.91606;-0.04712;0.00475;-0.13273;0.05442;-0.43611;0.95336;-0.42333;1.1436
"présenter";0.04044;0.00167;0.32156;0.11396;0.26523;0.11185;0.07927;0.01621;0.27687;0.25178
"selon";-0.38335;0.18812;0.15099;0.03159;-0.28049;0.15726;-0.12854;0.05359;-0.16201;0.10838
"État";-0.22295;0.07375;-0.14708;0.03474;0.0094;2e-04;-0.0721;0.01954;-0.16316;0.12741
"objectif";-0.03131;0.00046;-0.00996;5e-05;0.11548;0.00969;-0.78732;0.73111;-0.09315;0.01303
"démocratique";1.42366;1.00245;-0.31813;0.05418;0.16324;0.02058;-0.85877;0.92419;-0.43468;0.30143
"démarche";0.24462;0.0679;-0.32439;0.12923;0.07399;0.0097;-0.18232;0.09556;-0.08942;0.02926
"http";-0.15051;0.05075;1.36301;4.50437;0.44848;0.70355;0.27904;0.44196;0.20563;0.30555
"collège";0.26937;0.01689;0.65714;0.10878;0.87185;0.27625;-0.00788;4e-05;0.06464;0.00314
"séance";-0.30542;0.00271;0.85711;0.02313;-1.08514;0.05349;0.30306;0.00677;-0.8503;0.06785
"non";0.0715;0.0064;0.09061;0.01112;0.54338;0.57676;-0.29717;0.27993;0.23337;0.21977
"y";-0.01085;0.00019;0.01675;0.00049;0.06782;0.01149;-0.18205;0.13436;-0.09824;0.04981
